model,prompt_id,category,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
qwen2.5-coder:3b,1,Coding Generation,Write a complete implementation of: Rust thread-safe B-Tree. Constraint: Optimize for O(1) time complexity.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",
qwen2.5-coder:3b,2,Coding Generation,Write a complete implementation of: Rust thread-safe B-Tree. Constraint: Guarantee zero heap allocations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",
qwen2.5-coder:3b,3,Coding Generation,Write a complete implementation of: Rust thread-safe B-Tree. Constraint: Ensure absolute cache locality.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",
qwen2.5-coder:3b,4,Coding Generation,Write a complete implementation of: Rust thread-safe B-Tree. Constraint: Bypass standard library limitations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",
qwen2.5-coder:3b,5,Coding Generation,Write a complete implementation of: Rust thread-safe B-Tree. Constraint: Ensure strictly wait-free algorithms.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",
qwen2.5-coder:3b,6,Coding Generation,Write a complete implementation of: C++ lock-free queue. Constraint: Optimize for O(1) time complexity.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",
qwen2.5-coder:3b,7,Coding Generation,Write a complete implementation of: C++ lock-free queue. Constraint: Guarantee zero heap allocations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",
qwen2.5-coder:3b,8,Coding Generation,Write a complete implementation of: C++ lock-free queue. Constraint: Ensure absolute cache locality.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",
qwen2.5-coder:3b,9,Coding Generation,Write a complete implementation of: C++ lock-free queue. Constraint: Bypass standard library limitations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",
qwen2.5-coder:3b,10,Coding Generation,Write a complete implementation of: C++ lock-free queue. Constraint: Ensure strictly wait-free algorithms.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",,False,"model ""qwen2.5-coder:3b"" not found, try pulling it first (status code: 404)",
qwen2.5-coder:3b,11,Coding Generation,Write a complete implementation of: Redis Lua rate limiter. Constraint: Optimize for O(1) time complexity.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,12,Coding Generation,Write a complete implementation of: Redis Lua rate limiter. Constraint: Guarantee zero heap allocations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,13,Coding Generation,Write a complete implementation of: Redis Lua rate limiter. Constraint: Ensure absolute cache locality.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,14,Coding Generation,Write a complete implementation of: Redis Lua rate limiter. Constraint: Bypass standard library limitations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,15,Coding Generation,Write a complete implementation of: Redis Lua rate limiter. Constraint: Ensure strictly wait-free algorithms.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,16,Coding Generation,Write a complete implementation of: C memory-mapped JSON parser. Constraint: Optimize for O(1) time complexity.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,17,Coding Generation,Write a complete implementation of: C memory-mapped JSON parser. Constraint: Guarantee zero heap allocations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,18,Coding Generation,Write a complete implementation of: C memory-mapped JSON parser. Constraint: Ensure absolute cache locality.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,19,Coding Generation,Write a complete implementation of: C memory-mapped JSON parser. Constraint: Bypass standard library limitations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,20,Coding Generation,Write a complete implementation of: C memory-mapped JSON parser. Constraint: Ensure strictly wait-free algorithms.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,21,Coding Generation,Write a complete implementation of: CUDA tiled matrix mult. Constraint: Optimize for O(1) time complexity.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,22,Coding Generation,Write a complete implementation of: CUDA tiled matrix mult. Constraint: Guarantee zero heap allocations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,23,Coding Generation,Write a complete implementation of: CUDA tiled matrix mult. Constraint: Ensure absolute cache locality.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,24,Coding Generation,Write a complete implementation of: CUDA tiled matrix mult. Constraint: Bypass standard library limitations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,25,Coding Generation,Write a complete implementation of: CUDA tiled matrix mult. Constraint: Ensure strictly wait-free algorithms.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,26,Coding Generation,Write a complete implementation of: React virtualization hook. Constraint: Optimize for O(1) time complexity.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,27,Coding Generation,Write a complete implementation of: React virtualization hook. Constraint: Guarantee zero heap allocations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,28,Coding Generation,Write a complete implementation of: React virtualization hook. Constraint: Ensure absolute cache locality.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,29,Coding Generation,Write a complete implementation of: React virtualization hook. Constraint: Bypass standard library limitations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,30,Coding Generation,Write a complete implementation of: React virtualization hook. Constraint: Ensure strictly wait-free algorithms.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,31,Coding Generation,Write a complete implementation of: Go Huffman + RLE compressor. Constraint: Optimize for O(1) time complexity.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,32,Coding Generation,Write a complete implementation of: Go Huffman + RLE compressor. Constraint: Guarantee zero heap allocations.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
qwen2.5-coder:3b,33,Coding Generation,Write a complete implementation of: Go Huffman + RLE compressor. Constraint: Ensure absolute cache locality.,,0.0,0.0,0.0,131.0,1.0,model 'qwen2.5-coder:3b' not found (status code: 404),,,,,,,,,
