model,prompt_id,category,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
llama3.2:1b,101,Chat & Generation,Write a creative piece concerning: A Victorian mother angry about computers. Style condition: Write entirely in iambic pentameter.,"In twilight halls, where gaslights softly gleamed,
A matron resided, with ire imbued,
Her eyes, like dark pools, deep and stern did seem,
As if the very thought of computers' theme,
Did pierce her heart and fuel her discontent.

The whirring machines, with beeps and hums so sweet,
Did beckon her to join their wondrous treat,
But oh, how she shuddered at the notion's creep,
Of numbers dancing, in neat and orderly keep.
She thought of her children, learning to read and write,
And her hopes for their future, lost in pixelite",67.40287811342715,1.9562525000001187,3.850213099998655,2281.50390625,1.0,,True,,"{ ""title"" : ""A Mother's Frustration"", ""content"" : ""The Victorian Era, 1885"" ,

  ""word_count"" : 156,
  ""style_elements"" : [""iambic_pentameter"", ""Victorian_mother"", ""angry"", ""computers"", ""fashion"", ""technology""]

  }

  																		",True,,"{ ""title"": ""A Mother's Wrath"" , ""content"": ""A Victorian MOTHER'S ANGER AT THE COMPUTER'S WHIM"", ""word_count"": 148, ""style_elements"": [""iambic_pentameter""] }

   			     		    			",True,,"{ ""title"": ""The Maiden's Rage"", ""content"": ""A Mother's Wrath"" , ""word_count"": 256, ""style_elements"": [""iambic_pentameter""]}

         				 						"
llama3.2:1b,102,Chat & Generation,Write a creative piece concerning: A Victorian mother angry about computers. Style condition: Ensure the text is extremely persuasive yet subtle.,"In the parlour of our esteemed household, a gathering of sorts was underway. The fire crackled, casting a warm glow upon the faces of my family members, each one ensconced in their own tranquil world. I, Mrs. Wimpole, stood resolute at the centre, surveying the scene before me like a hawk assessing its prey.

Before me lay the scattered remnants of my morning correspondence. A flutter of letters, yellowed with age, bearing messages from distant relatives and acquaintances alike. They spoke of progress and innovation in the world beyond our humble abode – those confounded machines that humans claimed to possess.",68.06257332678798,0.04786250000324799,1.9149944000018877,2281.50390625,1.0,,True,,"{ ""title"" : ""A Mother's Frustration"", ""content"" : ""The Iron Lady of the Digital Age"" ,

  ""word_count"" : 350,
  ""style_elements"" : [""irony"", ""satire"", ""humor""]}

  	",True,,"{ ""title"" : ""A Mother's Lament: The Unsettling Influence of These... Machines""

  , ""content"" : ""In a world where the rhythm of our lives has been rewritten by these... contraptions, I find myself increasingly irate. A mother's instincts scream at her to protect her children from this whirlwind of wires and screens.""

  , ""word_count"" : 250

  , ""style_elements"" : [""Irony"", ""Metaphor"", ""Allusion""]

  }

  	",True,,"{""title"": ""A Mother's Disapproval of the Wonders of the Age"", ""content"": ""A Gentle Rebuke from a Bygone Era"" ,

""word_count"": 700,""style_elements"": [
""-feminine language-"" ,
"" -vivid imagery-"" ,
""-persuasive sentence structures-""

, ""description"", ""In the dimly lit parlour of my modest manor, I found myself facing a new phenomenon that had the most peculiar effect on me – the fascination with small glass windows that seemed to hold everyone's attention. These 'computers', as they call them, have been sweeping the nation and captivating its young minds like moths to a flame. ""

]

}

   "
llama3.2:1b,103,Chat & Generation,Write a creative piece concerning: A Victorian mother angry about computers. Style condition: Limit the response to exactly 100 words.,"Mrs. Whistlethorpe paced her parlour, her pearls jangling as she seethed with indignation. ""Fie upon these machines!"" she exclaimed, slamming her fist on the mantle. ""They're a scourge on society! What's wrong with a decent lady managing her own home?"" She glared at her daughter, Emily, who sat studiously at her typewriter, fingers flying over the keys. ""You'll be reading letters from men you don't know, and wasting hours upon it!"" Mrs. Whistlethorpe scolded. But as she watched Emily's eyes light up with excitement",67.89828137249374,0.043568699999013916,1.9130184000023291,2281.50390625,1.0,,True,,"{""title"": ""The Mother's Frustration"", ""content"": ""A Victorian mother's ire at the contraption that threatened her world, the computer. She stormed into the parlour, her skirts rustling with indignation. 'Good heavens, what sorcery is this?' she exclaimed, pointing to a glowing screen. 'How dare you sully our household with such frivolity!' The children giggled and whispered amongst themselves, their eyes fixed on the mesmerizing display. 'You'll be the laughing stock of society,' her daughter warned. But the mother's anger only grew, as she realized that these machines were changing lives – and hers."" ,""word_count"": 100,""style_elements"": [""Anger"", ""Frustration"", ""Contraption"", ""Society""]}",True,,"{ ""title"": ""The Mother's Frustration"", ""content"": ""As she sat in her dimly lit parlor, Mrs. Jenkins' eyes narrowed at the glowing rectangle in front of her. The machines, those marvels of modern science, had reduced her to a mere spectator."" ,""word_count"": 100,""style_elements"": [""Anger"", "" Victorian"", ""Mothers"", ""Frustration""]}",True,,"{""title"": ""The Scandalous Machine"", ""content"": ""\u2013 Mrs. Jenkins' eyes blazed with indignation as she confronted her husband in the parlour.\u201d\nHe stood before the glowing monolith, its soft hum and flashing lights a siren's call to curiosity.\n"",""word_count"": 76,""style_elements"": [""Victorian"", ""constrained narrative"", ""anger"", ""humor""]}"
llama3.2:1b,104,Chat & Generation,Write a creative piece concerning: A Victorian mother angry about computers. Style condition: Utilize an unreliable narrator format.,"I recall the day like it was yesterday, though I'm not entirely certain which one of those is. My memory, always prone to playing tricks on me, whispers secrets in my ear that I dare not confront. Yet, I shall attempt to recount this tale, for the sake of my own sanity.

As I sit here in our parlor, surrounded by the detritus of a bygone era, my eyes fall upon the latest contraption that has brought my son, Edwin, into such disarray. He sits at the kitchen table, his fingers dancing across the glowing rectangle with an air of desperation that makes me want to scream",67.824411711983,0.04244550000294112,1.9148408999972162,2281.50390625,1.0,,True,,"{""title"": ""The Mother's Lament"", ""content"": ""A Victorian Era Tale of Frustration and Folly"", ""word_count"": 250, ""style_elements"": [""unreliable_narrator"", ""first_person"", ""irrational_fear"", ""morbid_tone""]}

    	",True,,"{""title"": ""A Mother's Fury: The Agony of the Electric Keyboard"", ""content"": ""A most singular and distressing occurrence, I dare say..."" ,

""word_count"": 50

   ,""style_elements"": [""unreliable_narrator_format"",""short_sentence_length_12_words_or_less""]

    			  	} ",True,,"{ ""title"": ""The Mother's Fury Against the Machine"", ""content"": ""A Victorian Matriarch's Lament"" ,

   ""word_count"": 300

     , ""style_elements"": [""Allegory"", ""Irony"", ""Imagery""]

        }

      			   								"
llama3.2:1b,105,Chat & Generation,Write a creative piece concerning: A Victorian mother angry about computers. Style condition: End on an unresolved plot twist.,"The dim gas lamps cast a warm glow over the dusty, yet elegant, drawing room. Mrs. Emily Windsor sat in her favorite armchair, fingers steepled together as she stared out the window at the rainy London evening. Her husband, Mr. Jenkins, had been spending more and more time in his small, cluttered workshop, tinkering with his latest contraption.

Mrs. Windsor's eyes narrowed as she watched him, a mix of disdain and worry etched on her face. ""What is it now?"" she muttered to herself, a faint hint of frustration creeping into her voice.

Her daughter, Lady Catherine, poked",67.74865503041174,0.04163450000487501,1.9166470000054687,2281.50390625,1.0,,True,,"{""title"": ""The Mother's Frustration"", ""content"": ""A Victorian Era Tale of Disapproval and Discovery""

  ,""word_count"": 250,
  ""style_elements"": [""mysterious"", ""intriguing"", ""unsettling""]
  }

  	",True,,"{ ""title"": ""Mother's Lament"", ""content"": ""A Victorian Era Tale"" ,

  ""word_count"": 250,

""style_elements"": [
    ""Setting"",
    ""Protagonist"",
    ""Plot Point""
]

      }

  ",True,,"{""title"": ""The Clockwork Frustration of Mrs. Harriet Worthington"" ,

""content"": ""a typical afternoon at the Worthington's household saw mrs. Worthington pacing to and fro in her drawing room, her face a deep shade of crimson as she muttered to herself about the newfangled contraptions that had come into this world."",

""word_count"": 150,

""style_elements"": [""persuasive narrative"", ""anagnonist"",""dramatic irony""]}

               "
llama3.2:1b,106,Chat & Generation,Write a creative piece concerning: A passive-aggressive corporate budget denial. Style condition: Write entirely in iambic pentameter.,"In office halls, where numbers reign supreme,
A tale of fiscal prudence doth appear.
The CEO, with eyes that scan the ground,
Didst snub the request of finance's stern bound.

""A mere 1%,"" he said with a sneer,
""That's all we'll cut. No more denial here.""
But numbers danced upon the screen so fine,
Refracting light, in a wondrous design.

The marketing chief, with spirit so bright,
Didst protest loud, through day and endless night.
""Ten percent?"" she cried, ""That's but a shade!""
""No room for growth,"" the CEO's",67.90678965505845,0.0445493000006536,1.9139628000048106,2281.50390625,1.0,,True,,"{ ""title"": ""The Budget's Lament"", ""content"": ""A Tale of Passive Aggression"" ,""word_count"": 176, ""style_elements"": [ ""iambic_pentameter"", ""passive-aggressive"" ]}

  																		",True,,"{
   ""title"": ""The Budget's Blunder""
   	,
    ""content"":

   ""In halls of commerce, where deals are made with ease,""
    , ""word_count"": 280,
   ""style_elements"": [""iambic"", ""pentaemeter""]
   }

        		    						",True,,"{

       ""title"" :""A Budget of Whispers""

      ,

     ""content"" :
           ""In offices of profit and desire""
          , ""word_count"" :

             1 ,""style_elements"": [
                 ""-The budget must be submitted to me"",
                  ""and all its demands laid out in plain sight"",
                    ""I am the one who makes it real, don't you see?""

            , ""]  2  ,"" ,""-style_element_1"" ,"" The numbers are fine, I'm told""

         , ""]  3  ,"" ,""-style_element_1"" ,""But what about our morale? Our profits in flight?""

       , ""content_ending"" ,
            ""  ]  4  ,""

        ,

          ""'Budget Denial' is the title of this tale"",
           ""-of a company so dull, it'll put to shame""
            ,""the most high-falutin' and high-pressur'd tales""
               , ""That I've ever had the misfortune to write in such flimsy guise.""

       ,""content_body"" ,
            ""'In a world where profit is king, we must pretend'""
           ,""that our budget's on point and in demand"",
              ""While secretly counting down the days until our paychecks start to end.""

          , ""content_ending"" ,

         ""]  5  ,"" ,""-style_element_1"" ,""A budget of whispers is my heart's refrain""

       , ""'Tis a sound that echoes through this corporate pain"",
           ""Where profit is the only thing that remains"",
              ""In a world where creativity's lost and in vain.""

        ,

          ""content_body"" ,
               ""'But what about our creative soul? We must preserve'""
            ,""the spark of innovation, or else we'll all be terse"",
                ""Lest our employees lose heart, their dreams, we've treasured""

         , ""content_ending"" ,

       ""]  6  ,"" ,""-style_element_1"" ,""A budget of whispers is my only hope""

        , ""'For in the shadows of this corporate strife"",
            ""We must hold on to our passion's fragile life"",
              ""Lest we lose ourselves, and with us go, forlorn.""

     , ""content_body"" ,
          ""'So I'll deny it, till it's just a whispered name"",
           ""And the employees will know that they're not in the game"",
                ""That's what a budget of whispers means: the thrill of escape""

        , ""content_ending"" ,

          ""A-budget-of-whispers."" ,"".finale"" , ""A Budget of Whispers"", ""]  ,  }     .Finale.]"" ,"". Finale."" ,"" A Budget of Whispering is a budget of disdain and disrespect, for the very soul of this corporate entity, in which we toil, striving, yearning, for a chance to shine. It's a denial so palpable, so suffocating, that it makes us all whisper our deepest fears and most profound doubts."" ,""A Budget of Whispers"", ""]  ,  },]"" ,"". Finale."" ,"" A budget of whispers is not a budget at all; it's a desperate cry for help, a pleading whisper from the depths of corporate despair, where creativity lies dying and innovation's voice has been silenced forevermore."" ,"".Finale."" ,"". .""] }"
llama3.2:1b,107,Chat & Generation,Write a creative piece concerning: A passive-aggressive corporate budget denial. Style condition: Ensure the text is extremely persuasive yet subtle.,"In the sterile boardroom, where fluorescent lights hummed like a metronome, CEO Thompson's words dripped with honeyed sweetness as he addressed the assembled executives.

""We're facing a critical period for our company,"" Thompson said, his voice smooth as silk. ""Our financial projections indicate a slight decline in revenue, which will necessitate... creative measures to ensure our future growth.""

As if sensing her hesitation, Thompson paused, scanning the room with an air of benevolent curiosity. ""Now, I know some of you may be thinking, 'What's this supposed to mean?' But let me assure you, it has nothing to do",67.70155904525357,0.0424600999976974,1.9172602999969968,2281.50390625,1.0,,True,,"{ ""title"": ""The Art of Denial"", ""content"": ""In the hallowed halls of corporate finance, where numbers reign supreme and budgets are born, there exists a peculiar art form – the passive-aggressive budget denial. It's a delicate dance of subtle sabotage, where the true cost of a project is hidden in plain sight, waiting to be uncovered by those with the keenest eyes for detail."" ,

""word_count"" :

1
   ,""style_elements"": [""The CEO's office"", ""a glassy-eyed stare"", ""the faint scent of stale air""]
                    }

                    ",True,,"{ ""title"": ""The Art of Deliberation"", ""content"": """"

    , ""word_count"": 250, ""style_elements"": [""persuasive"", ""subtle""]}

       ",True,,"{ ""title"": ""The Silent Syrup"", ""content"":

    ""As she poured herself a glass of expensive champagne, Emily couldn't help but feel a twinge of unease in the boardroom. The CEO's eyes darted around the room, avoiding direct eye contact with their own before landing on her. A faint smile played on his lips as he began to speak, his words dripping with honey, 'I think we can all agree that our sales numbers are...fluctuating.' -1 percent.""

    , ""word_count"": 300,

    ""style_elements"": [""irony"", ""wit"", ""simile""]}

   "
llama3.2:1b,108,Chat & Generation,Write a creative piece concerning: A passive-aggressive corporate budget denial. Style condition: Limit the response to exactly 100 words.,"The fluorescent lights hummed overhead as Emily trudged into her manager's office, her mind reeling with frustration. ""I've reviewed the numbers,"" she said, trying to keep her tone neutral. Her manager, Mr. Johnson, sipped his lukewarm coffee, a bland smile spreading across his face. ""We'll just need to revisit our projections,"" he quipped. Emily's eyes narrowed. ""You're saying we can cut $50,000 from the marketing budget? Without a formal proposal or explanation?"" Mr. Johnson's smile grew wider. ""Just a gut feeling.""",67.81626254152485,0.04288300000189338,1.8132433999999193,2281.50390625,1.0,,True,,"{""title"": ""The Budget Blues"", ""content"": ""As the company's financials dwindled, CEO Sarah stood firm on her stance - no more budget denials. "",""word_count"": 90,""style_elements"": [""passive-aggressive""]}",True,,"{""title"": ""The Budget Blues"", ""content"": ""Aria trudged into the conference room, her eyes fixed on the projector screen displaying the latest corporate budget figures. Her boss, Reginald, cleared his throat and began the presentation. "",""word_count"" :

1, ""style_elements"" :
  	[ ] }
  	 	               ",True,,"{""title"": ""The Silent Treatment"", ""content"": ""The company's CEO stood at the podium, scrutinizing the latest budget reports. The numbers were, as expected, bleak. "",""word_count"": 98,""style_elements"": [""dark humor""]}"
llama3.2:1b,109,Chat & Generation,Write a creative piece concerning: A passive-aggressive corporate budget denial. Style condition: Utilize an unreliable narrator format.,"I'm not sure what I did to deserve this, but my boss, Rachel, just delivered the news that was going to change my life forever. Or at least, as much as it could have, considering she's been notorious for her creative accounting and outright lies.

It started with a meeting about a ""project"" called ""Future Expansion."" Yeah, right. Like any project I've ever worked on, I had no idea what that meant or why my boss was so excited about it. But then Rachel dropped the bombshell: the company would be investing in a new marketing strategy, which would, apparently, ""boost sales and increase",67.8400450457899,0.042013199999928474,1.9143152000033297,2281.50390625,1.0,,True,,"{""title"": ""The Budget Blues"", ""content"": ""I'm not sure what's more astonishing, the fact that our company is still operating or that we've managed to avoid paying our bills for months on end.""

,""word_count"": 250,

""style_elements"": [""unreliable_narrator"", ""passive-aggressive corporate budget denial""]

}

  ",True,,"{""title"": ""The Great Budget Debacle"", ""content"": ""I'm not sure what's more astonishing, the fact that our company just denied our latest budget request or that anyone still thinks we have a handle on our finances.""

,""word_count"": 250,

""style_elements"": [""unreliable_narrator"", ""short_sentences"", ""vague_explanations""]

}

																				",True,,"{""title"": ""The Great Budget Debacle"", ""content"": """"

  ,""word_count"": 4509

  , ""style_elements"": [""allegory"", ""whimsy"", ""sarcastic voice""]

  }

    "
llama3.2:1b,110,Chat & Generation,Write a creative piece concerning: A passive-aggressive corporate budget denial. Style condition: End on an unresolved plot twist.,"In the sterile office of Smith & Co., the fluorescent lights hummed overhead like a chorus of disapproving angels. It was a day like any other, with reports due and presentations to prepare, but something stank – a pungent mix of bureaucratic red tape and corporate apathy.

As the sales department scrambled to meet their quarterly targets, their fearless leader, Rachel, stood at the whiteboard, her eyes scanning the list of approved expenses. She cleared her throat and began to read from the budget document, a carefully crafted spreadsheet that seemed to shift and writhe on the page like a living thing.

""Sales projections indicate a",67.91626942723663,0.04193400000076508,1.9133471000022837,2281.50390625,1.0,,True,,"{""title"": ""The Great White Lie"", ""content"": ""It was supposed to be a simple meeting, a routine discussion about the company's finances. But as soon as the CEO, Reginald P. Bottomsworth III, walked in, his expression changed from confident and authoritative to... well, let's just say it was like he'd been hit by a truck.""

		,""word_count"": 156,
		""style_elements"": [""passive-aggressive"", ""corporate budget denial"", ""plot twist""]}

																				",True,,"{""title"": ""The Budget Blues"", ""content"": ""In the sterile, beige-colored boardroom, executives chatted quietly as they sipped their lukewarm coffee. The air was thick with the weight of unspoken words, like a palpable fog that clung to the skin.""

      ,""word_count"": 156,
     ""style_elements"": [""Corporate"", ""Passive-aggressive"", ""Office setting""]
       }

       ",True,,"{ ""title"": ""The Sighs of a Shrinking Budget"" , ""content"":""As she stood in front of the watercooler, sipping her lukewarm coffee and gazing out at the corporate skyscrapers, Emily's boss, Michael, finally deigned to address the elephant in the room. But not before making his displeasure known... through a simple yet effective gesture: the polite but categorical denial.""

    , ""word_count"": 156 , ""style_elements"": [""Corporate tone"", ""Deadpan delivery"", ""Condescending smirk""] }

    		   	 									"
