model,prompt_id,category,tps,ttft,latency,peak_vram_mb,error,temp_0.0_success,temp_0.0_error,temp_0.1_success,temp_0.1_error,temp_0.2_success,temp_0.2_error,temp_0.3_success,temp_0.3_error,temp_0.4_success,temp_0.4_error,temp_0.5_success,temp_0.5_error,temp_0.6_success,temp_0.6_error,temp_0.7_success,temp_0.7_error
phi4-mini-reasoning,51,Medium Reasoning,0.0,0.0,0.0,2653.50390625,llama runner process has terminated: GGML_ASSERT(ctx->mem_buffer != NULL) failed (status code: 500),False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)"
phi4-mini-reasoning,52,Medium Reasoning,0.0,0.0,0.0,131.0,model 'phi4-mini-reasoning' not found (status code: 404),False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)"
phi4-mini-reasoning,53,Medium Reasoning,0.0,0.0,0.0,131.0,model 'phi4-mini-reasoning' not found (status code: 404),False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)"
phi4-mini-reasoning,54,Medium Reasoning,0.0,0.0,0.0,131.0,model 'phi4-mini-reasoning' not found (status code: 404),False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)"
phi4-mini-reasoning,55,Medium Reasoning,0.0,0.0,0.0,1827.50390625,model 'phi4-mini-reasoning' not found (status code: 404),False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)"
phi4-mini-reasoning,56,Medium Reasoning,0.0,0.0,0.0,1827.50390625,model 'phi4-mini-reasoning' not found (status code: 404),False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)"
phi4-mini-reasoning,57,Medium Reasoning,0.0,0.0,0.0,1827.50390625,model 'phi4-mini-reasoning' not found (status code: 404),False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)"
phi4-mini-reasoning,58,Medium Reasoning,0.0,0.0,0.0,1827.50390625,model 'phi4-mini-reasoning' not found (status code: 404),False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)"
phi4-mini-reasoning,59,Medium Reasoning,0.0,0.0,0.0,1827.50390625,model 'phi4-mini-reasoning' not found (status code: 404),False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)"
phi4-mini-reasoning,60,Medium Reasoning,0.0,0.0,0.0,1827.50390625,model 'phi4-mini-reasoning' not found (status code: 404),False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)",False,"model ""phi4-mini-reasoning"" not found, try pulling it first (status code: 404)"
