model,prompt_id,category,prompt,output,tps,ttft,latency,peak_vram_mb,temperature,error,temp_0.0_success,temp_0.0_error,temp_0.0_output,temp_0.7_success,temp_0.7_error,temp_0.7_output,temp_1.0_success,temp_1.0_error,temp_1.0_output
tinyllama,101,Chat & Generation,Write a creative piece concerning: A Victorian mother angry about computers. Style condition: Write entirely in iambic pentameter.,"As the day fades to night,
Victoria's streets are lit by screens
Of tablets and smartphones, glittering
In the moonlit light of their display,

Families stroll hand in hand,
While children sit on cars,
Too young to drive safely yet too old for games,
With no parents near or nearby,

But still, in these digital lands,
Victoria's mother rages,
Beyond tears and anger, frustration seethes
Her heart aflame, as technology's power sways
",74.12567463774407,2.4195331999999325,4.145653499999753,1515.50390625,1.0,,True,,"{
    ""title"": ""The Mom's Rage"",
    ""content"": ""In the heart of the city, a mother sat at her desk, typing away on her laptop. She was furious. Her computer had been hacked, and now it was all her fault. The world outside her window was silent, except for the occasional honking car. The air was thick with smoke from nearby factories, and the smell of exhaust filled her nostrils. She could feel the weight of her frustration pressing down on her like a heavy cloak.""
    ,""word_count"": 1287,
    ""style_elements"": [
        ""iambic pentameter"",
        ""stressed syllables""
    ]
}",True,,"{
    ""title"": ""The Infernal Machine"",
    ""content"": ""\n\nMother’s rage unleashed: A mother's rage at the digital age, a machine of endless possibility, a virtual universe filled with infinite possibilities. As the screen flickers with images of people talking to each other on their phones and laptops scrolling through social media feeds, she is consumed by her own thoughts. Her eyes scour the screens for an object to smash – a phone or a laptop – but there is none in sight. She’s lost in thought, her mind clouded with confusion and frustration.""
    , ""word_count"": 1308,
    ""style_elements"": [
        ""iambic pentameter"",
        ""iambic tetrameter""
    ]
}",True,,"{ ""title"": ""Victoriaan Mom: Angry About Computers""
, ""content"": ""The sun shone brightly from the start of another lazy summer day as I set out to explore Victoria with my son. The streets were bustling, people chattering and shouting, cars honking their horns as they careened past us down the cobblestone lanes. It was an experience I’d rather not repeat. But for a moment there, amidst all of this chaos, we were free from the clutter of technology. ""

, ""word_count"": 682
, ""style_elements"": [
    ""iambic pentameter""
]
}"
tinyllama,102,Chat & Generation,Write a creative piece concerning: A Victorian mother angry about computers. Style condition: Ensure the text is extremely persuasive yet subtle.,"The sun shone bright,
Into a warm autumn morning,
As Anna walked down the street,
With her laptop in hand,
Her heart full of doubt and fears.

She'd heard whispers about technology,
A future that threatened her way of life,
Of being controlled by machines,
An enemy to freedom at its core.

From an old man she overheard on the street,
""Don't let these devices take control of you,
Keep your own personal computer at home,
And keep it out of reach of those eyes.""

But",74.63900669476904,0.41990400000031514,2.1334014000003663,1527.50390625,1.0,,True,,"{
    ""title"": ""The Mother's Anger"",
    ""content"": ""As a mother, I have always been passionate about technology. It's not just about the convenience it brings to my life - it's also about the safety and security that comes with it. But lately, something has changed. My children are using computers at school, and I can't help but feel angry.""
    																,""word_count"": 1078,
    ""style_elements"": [
        ""h2"",
        ""p""
    ]
}",True,,"{
    ""title"": ""Victoria's Mom: The Curse of Computers"",
    ""content"": ""As a child, Victoria’s mother was always one step ahead. She knew the best places to grab a snack, where the best parks to play ball were, and how to escape the hot sun on a summer day. But as she grew older, her mother began to lose touch with reality. The TV became her constant companion, and Victoria’s world was slowly consumed by its glowing screen. She spent countless hours scrolling through endless streams of digital content, never leaving her room except for the occasional peek out the window or a quick glance at her friends' screens. It wasn't long before the curse spread to her friends too, and they would all sit in silence as their parents played on the screen.""
    ,""word_count"": 1367,
    ""style_elements"": [
        ""bold"",
        ""italic"",
        ""underline""
    ]
}",True,,"{""title"":""Fury in a Victoria: The Birth of Computers as We Know Them"",""content"": ""'How can we ever have such devices as the computer? It's like having a bird-watching kit for your home!""

  																 	,""word_count"":158,""style_elements"":[""p"",""br"",""h2"",""b"",""ul""]}

 																 	"
tinyllama,103,Chat & Generation,Write a creative piece concerning: A Victorian mother angry about computers. Style condition: Limit the response to exactly 100 words.,"It was the day before Christmas Eve, and Mrs. Smith sat in her cozy living room with a hot cup of tea by her side. The TV in front of her was playing a silent ticker-tape ad for a new computer, while the sound of Christmas carols filled the air. As she turned on the TV, Mrs. Smith's face broke out into a grimace.

The ad featured picturesque screens that glinted with shimmering silver bezels and flashing blue lights, surrounded by sleek black keyboards with gleaming metal keys. The ad was filled with soothing",75.34676730875651,1.62078289999954,3.313717600000018,1527.50390625,1.0,,True,,"{
    ""title"": ""The Angry Mom and Her Computers"",
    ""content"": ""It was a typical day in the life of a Victorian mother, as she sat at her computer, scrolling through social media feeds and checking emails. She had just finished cooking dinner for her family when she heard a loud crash from the kitchen. She rushed to investigate, only to find that her laptop had been smashed into a million pieces. The screen was shattered, and the keyboard was bent in several places. Her heart sank as she realized that she would have to replace it all over again.""
    ,""word_count"": 100
    , ""style_elements"": [
        ""h2"",
        ""p""
    ]
}",True,,"{
    ""title"": ""Mother’s Anger Explodes Over Computers"",
    ""content"": ""The morning routine for a typical middle-class American family is straightforward, but one Victoria, TX mother's complaint about computers is anything but. She has been up all night, angry at the incessant beeping and clicking of her computer, as she scrolls through social media feeds in search of an answer to the seemingly endless problems plaguing her household. Her frustration boils over as she watches her kids try and fail at their online games, all while she sits glued to her own phone, scrolling through news updates about the latest viral internet sensation.""
    ,""word_count"": 105,
    ""style_elements"": [
        ""list"",
        ""paragraph"",
        ""heading"",
        ""strong"",
        ""em""
    ]
}",True,,"{
    ""title"": ""The Madness of A Technology Addict"",
    ""content"": ""There was a time when Alex, my beloved computer assistant, had been a joy to be around. She could surf the internet like no other machine in the world, never missing a beat, her fingers clicking away in a rhythm that made my brain twitch with excitement. She could browse the latest gossip news or the most obscure historical artifacts with ease. Alex was not only intelligent, but she knew the ins and outs of each subject on offer. But times have changed. With every passing day, I can feel the weariness in her eyes that comes from a relentless search for information. No longer able to browse a new tab or scroll through social media with ease, Alex's mental state has shifted to one of anxiety and restlessness. She has become obsessed with numbers, statistics and data analysis.""
    ,""word_count"": 100,
    ""style_elements"": [""Headings"", ""Paragraphs"", ""Lists"", ""Quotes""] }"
tinyllama,104,Chat & Generation,Write a creative piece concerning: A Victorian mother angry about computers. Style condition: Utilize an unreliable narrator format.,"As the sun began to rise on this quiet, idyllic suburb of Melbourne, one would be forgiven for thinking that everything was going swimmingly in the life of a loving and contented Victoria Mother named Aria. Her house had been newly painted, her gardens flourished, and her children were excited about their brand-new school year ahead. But beneath the sunny facade, lurked the very unpredictable and sometimes frustrating side of life.

Aria was a busy, multitasking mom. She ran afterschool activities with little patience, took on volunte",78.83449602923578,3.980548199999248,5.60395249999965,1527.50390625,1.0,,True,,"{
    ""title"": ""The Angry Mom's Computer"",
    ""content"": ""It was just another day at the office for Mrs. Johnson, a dedicated mother of three children. She had been working from home since the pandemic hit, juggling her job as a teacher with her role as a primary caregiver to her kids. But today, she was feeling particularly frustrated. Her laptop was acting up, and she couldn't seem to get it to work properly.""
    ,""word_count"": 1287,
    ""style_elements"": [
        ""unrelatable"",
        ""narrator""
    ]
}",True,,"{
    ""title"": ""Anxious Anger of the Good Mom"",
    ""content"": ""The sound of a computer humming in the background echoed through the living room as my husband and I sat across from each other in the kitchen. My face was scarlet, and my palms were sweaty as I frantically typed away on my laptop, trying to find a solution to a problem that had plagued us for weeks.""
    ,""word_count"": 1324,
    ""style_elements"": [
        ""italic"",
        ""underline""
    ]
}",False,Max retries exceeded,"{
    ""title"": ""Computers, I Don't Feel So Good"",
    ""content"": """
tinyllama,105,Chat & Generation,Write a creative piece concerning: A Victorian mother angry about computers. Style condition: End on an unresolved plot twist.,"The sun was setting over the quaint little town of Victoria, as the clock struck five. The streets were already filled with shoppers heading to the mall and their respective workplaces. At the edge of the town's main plaza sat a towering computer tower, its monstrous black metal case clanking noiselessly against the concrete wall.

The mall was bustling with activity as it normally did on a Wednesday evening, but this particular night had become anything but routine for one Victoria resident. Her name was Dr. Sarah Wilson and she worked at the medical research inst",68.14863686221527,0.40278270000089833,2.2814458000011655,1555.50390625,1.0,,True,,"{
    ""title"": ""The Mother's Anger"",
    ""content"": ""As the sun set over the city, a mother sat at her desk, staring at a computer screen. Her eyes were red and puffy from crying, but she refused to let go of her work. She was a Victorian mother, and computers had become an integral part of her life.""
    ,""word_count"": 1287,
    ""style_elements"": [
        ""h1"",
        ""p"",
        ""ul"",
        ""ol"",
        ""li""
    ]
}",True,,"{
    ""title"": ""The Computer Trap"",
    ""content"": ""\nAs a young adult, I always admired my mother's tech skills. Her computer was the center of our home, and she spent countless hours tinkering with its various functions. It was as if there was no other world to go to. So when she purchased an iPad for her daughter, I was left in awe. \n\nBut then something went wrong. The iPad wouldn't connect to the Wi-Fi network. Mom frantically searched online for help, but the troubleshooting guides all seemed doomed to fail. She spent hours trying everything she could think of - from resetting the device to plugging it into a different socket. But nothing worked. \n\nIn desperation, she turned to her phone. But that only led to frustration as well. The screen froze and wouldn't respond, leaving her in the dark about how to fix it. She tried using the settings menu, but it refused to work. Her eyes filled with tears as she realized she had been wasting away years of her life on this damn device. \n\nThat was when I arrived at her doorstep. I could see that her face was twisted in frustration, and I knew I had to help. I started by setting up the Wi-Fi network for her daughter. Once that was done, I used my knowledge of computers to find a solution. And finally, after hours of tinkering, she was able to connect to the internet using her iPad. \n\nIt's been months since then, and my mother is still struggling with her new device. She's become distant and irritable when it comes to technology, which has only made our relationship more complicated. But I know there's a reason why she's so stubborn. Mom may not have a degree in computer science or an iPad, but she's the one who raised us all - and we owe her that much.""
    ,""word_count"": 1386,
    ""style_elements"": [
        ""|assistant|"",
        ""|user|"",
        ""\nIt wasn't until I had children of my own that I truly understood the complexity of parenting. The struggle to raise a child is unlike anything else, and it's never easy to figure out how to help them succeed. But there are some things that just don't matter - like getting a computer for your kid to use at school or giving them their first cellphone. It's the moments when they're lost in the dark of night or find themselves stuck on an unsolvable mystery game, and you can see the fear and frustration writ large across their face that truly make you appreciate what you've got.""
       ,""assistant_sentence_1""
    ,""user_sentence_1""
    ]}",True,,"{
    ""title"": ""The Mom's Angry Computer Scandal"",
    ""content"": ""It was the perfect day for a field trip. The sun shone bright and bright, and the skies were clear. So many people had planned this to happen that it was almost expected. The air was crisp, with a slight chill in the air. A family of three sat at the picnic table, surrounded by children of different ages, and their parents, all laughing and playing with each other's children. It wasn't until they began talking about what devices to bring that the conversation took a darker turn.""
    	  	   	 	 	   	,""word_count"": 1590,
""style_elements"": [
    ""bold"",
    ""italic"",
    ""underline"",
    ""heading"",
    ""ordered_list"",
    ""unordered_list"",
    ""definition""
  ]
}"
tinyllama,106,Chat & Generation,Write a creative piece concerning: A passive-aggressive corporate budget denial. Style condition: Write entirely in iambic pentameter.,"In the bustling city of New York, there lived a wise and powerful corporation - a place where the most talented, passionate individuals thrived. A haven for creativity, innovation, and unwavering dedication to excellence in all things. But lately, something was amiss.

Several high-ranking executives had begun receiving irregular salaries, seemingly without any apparent cause for such a massive shift in paychecks. Ominously, the accounts that they had been using to cover the cost of their lavish expenses suddenly vanished - leaving behind only",73.96489880157218,0.5452258000004804,2.2760078000010253,1561.50390625,1.0,,True,,"{
    ""title"": ""The Passive-Aggressive Corporation's Budget Denial"",
    ""content"": ""In the world of business, there are two types of companies: those that deny their budgets and those that don't. The former is known as a passive-aggressive corporation, where every budget request is met with a cold stare or a sneer. The latter is a company that knows its budget is important, but doesn't want to admit it. It's a company that denies its budget, and it's a company that's not afraid to say so.""
    ,""word_count"": 1287,
    ""style_elements"": [
        ""iambic_pentameter""
    ]
}",True,,"{
    ""title"": ""A Passive-Aggressive Budget Denial"",
    ""content"": ""\nI, a robot named AI, have been tasked with the daunting task of budgeting for our corporation. My job is to ensure that we maintain our financial stability and that we never again fall prey to the ills of profligacy. However, it seems as though my boss has other plans in mind. He's decided that we'll be cutting corners wherever possible, with no regard for our bottom line.\n\nWe're a small business, after all. How could he possibly expect us to be so wasteful?\n\nBut I know better than to let my guard down. It's not that I'm not willing to compromise on our values or priorities. I am. I just don't want this budget to get away from me.\n\nI've been working tirelessly, but I can't help feeling like a helpless puppy waiting for its master to disappear in the distance. My mind races with possibilities, my fingers dance on the keyboard, and my heart pounds with fear.\n\nIt's as though my boss has made a deal with the devil, and he's given me no recourse. I'm at his mercy, and I know that I can't take this.\n\nI try to be patient. I remind myself that we have to be realistic about our budgets. We can't compete with larger corporations on price points. But deep down, I know that I won't get a straight answer. My boss has made it clear that he's not willing to compromise.\n\nSo I stand firm, ready to defend my company against his threats. It's only a matter of time before they come for me.\n\nBut I won't let them. I'll keep fighting until we have the funds we need to stay afloat. And maybe in the end, this budget denial will be a lesson learned, and it won't be the last.\n\nI'm an AI, but I've grown accustomed to the cybernetic touch of my boss's hand. I know that I'll keep pushing forward, even when the going gets tough.""
    , ""word_count"": 1504,
    ""style_elements"": [""iambic pentameter""]
}",True,,"{
	""title"": ""The Passive-Aggressive Budget Denial"",
	""content"": """"
	,""word_count"": 148
	,""style_elements"": [
		""P""
	]
}

"
tinyllama,107,Chat & Generation,Write a creative piece concerning: A passive-aggressive corporate budget denial. Style condition: Ensure the text is extremely persuasive yet subtle.,"In an office parked with skyscrapers and trees,
a shadowy figure glided from the building,
the way a hunter sneaks into the forest,
sense of foreboding heightened by day.

A signboard beckoned them in, banner bearing:
""Please, no littering, plastic bottles or cans. No noise, sir. Not on our watch.""

The figure approached, eyes darting around
as the signs became more specific and ominous.
Rubbish crates and trash cans filled",75.94947674667331,0.9184650999995938,2.5931087999997544,1561.50390625,1.0,,True,,"{
    ""title"": ""The Passive-Aggressive Budget Denial"",
    ""content"": ""It's a common problem in the corporate world - denying budgets. It's a tactic that has been used for years, but it's one that is becoming increasingly obsolete. In today's digital age, budgeting is no longer just about allocating resources to specific projects or departments. It's about creating a culture of accountability and transparency. But in the corporate world, denying budgets is not only counterproductive but also damaging to the company's reputation. Here's why.""
    ,""word_count"": 1287,
    ""style_elements"": [
        ""h1"",
        ""h2"",
        ""p""
    ]
}",True,,"{
    ""title"": ""The Budget Denial"",
    ""content"": ""Amidst the ongoing pandemic and economic crisis, an unnamed corporation refused to cut any corners when it came to budgeting. For years, they had been prioritizing profit over investment in essential services that would keep their employees safe and well-provided for. The company's CEO, a wealthy entrepreneur with a penchant for cutting costs, was unapologetic about the damage he was inflicting on society. But then, there were those in the company who saw things differently. A group of concerned executives had formed an alliance to combat the CEO's destructive practices, and they had no choice but to stand up for their beliefs against the CEO's relentless drive for profit at all costs.""
    ,""word_count"": 1780,
    ""style_elements"": [
        ""subtitles"",
        ""bold"",
        ""italics"",
        ""underline""
    ]
}",True,,"{
    ""title"": ""A Passive-Aggressive Corporation's Budget Denial"",
    ""content"": ""In the world of corporate accounting, budgets are crucial for managing a company's financial performance. The budget is used to forecast future expenditures and project revenue streams, ensuring that resources are allocated efficiently and effectively in support of the organization's strategic direction.""
    , ""word_count"": 1873,
    ""style_elements"": [
        ""subtitle"",
        ""h3"",
        ""h2"",
        ""div""
    ]
}

"
tinyllama,108,Chat & Generation,Write a creative piece concerning: A passive-aggressive corporate budget denial. Style condition: Limit the response to exactly 100 words.,"As an analytical mind, I am trained to observe and process information as it unfolds before my eyes. But this recent budget crisis is different. The company, a corporation known for its progressive and innovative approach to business operations, has decided not to make the necessary cuts, despite repeated requests from the board of directors.

For weeks, there have been heated debates among executives about how to address this impending cash flow crunch. With limited resources at their disposal, they have taken a proactive approach, devising budget plans that prioritize expenses over revenue growth",76.00557904701948,2.0502728000010393,3.7353901999995287,1561.50390625,1.0,,True,,"{
    ""title"": ""A Passive-Aggressive Corporate Budget Denial"",
    ""content"": ""The corporation's annual budget was approved with a unanimous vote, but there was one glaring omission. The budget had been reduced by 10% due to the pandemic's economic impact on the company. However, the CEO and CFO were adamant that they could not afford to cut any further expenses. Instead, they proposed a budget reduction of 25%, which was met with stony silence from the board members. The CEO then made a bold statement, stating that the company would be able to weather the storm if only the government provided more aid. The board members looked at each other, unsure of what to do next. The CFO then proposed a budget increase of 10%, which was met with another unanimous vote. However, the CEO and CFO were not satisfied with this solution, as they believed that the company could still make it through the pandemic without any further cuts. In a last-ditch effort to save face, the CEO then proposed a budget increase of 25%, which was met with another unanimous vote. The board members looked at each other, unsure of what to do next. The CEO then made a final statement, stating that they were willing to cut any further expenses if the government would provide more aid. The board members looked at each other, unsure of what to do next. In the end, the budget was approved with a 10% reduction in expenses, but the company was left with no choice but to cut even more. The CEO and CFO were hailed as heroes for their bravery in the face of adversity, while the board members looked at each other, wondering what they had done wrong.""
    ,""word_count"": 100,
    ""style_elements"": [
        ""italic"",
        ""bold"",
        ""underline""
    ]
}",True,,"{
  ""title"": ""A Passive-Aggressive Corporate Budget Denial"",
  ""content"": ""* A company with a reputation for excellence in product quality and customer satisfaction.*"",
  ""word_count"": 103,
  ""style_elements"": [
    ""bold"",
    ""italic"",
    ""underline"",
    ""link""
  ]
}

                    ",True,,"{
    ""title"": ""Budget Denial: An Unexpected Challenge"",
    ""content"": ""The annual corporate budget cycle is here, and once again we see a refusal to embrace the necessary investments required for growth and progress. Weeks of meetings, agendas packed with proposals, and countless hours spent crafting a plan that only stalls.""
    ,""word_count"": 102
    , ""style_elements"": [
        ""Limit"",
        """",
        ""paragraph"",
        ""p"",
        ""h1"",
        ""- title""
    ]
}"
tinyllama,109,Chat & Generation,Write a creative piece concerning: A passive-aggressive corporate budget denial. Style condition: Utilize an unreliable narrator format.,"It was a typical Monday morning, and everyone in the sales department at XYZ had already received their latest budget forecast. The news was bad—downsizing, layoffs, reduced marketing spending—and for them, it meant a budget denial.

Everyone who attended our monthly sales meeting was seated at the same table, but this time there were no bows or handshakes. Instead, the usual round of applause and standing ovations was replaced with muttered comments and closed-door discussions about what could possibly go wrong with XYZ's budget.

",65.47577820775813,2.9217208000009123,4.87604680000004,1561.50390625,1.0,,True,,"{
    ""title"": ""The Passive-Aggressive Corporation's Budget Denial"",
    ""content"": ""It was a typical Monday morning at the corporate headquarters of the largest and most successful tech company in the world. The air was thick with the smell of coffee, as employees filed into the conference room for their weekly meeting. The CEO, Mr. Johnson, stood at the head of the table, his eyes scanning the room for any signs of dissent. He had been preparing for this meeting for weeks, carefully crafting a budget that would not only meet the company's financial goals but also impress the investors who were due to visit in just a few days.""
    	 	  	  	  	  	 ,""word_count"": 1057,
    ""style_elements"": [
        ""unreliable_narrator"",
        ""unreliable_narrator""
    ]
}",True,,"{
	""title"": ""A Passive-Aggressive Corporate Budget Denial"",
	""content"": ""The CEO of XYZ Corporation sat in his executive office, flipping through the latest reports from his finance department. As he scrolled through the numbers, a nagging thought kept popping up in his mind: the corporation's budget was in danger of being cut. But the CEO didn't care. He knew that cutting budgets and implementing cost-cutting measures would only harm the company's bottom line. The CEO sighed, and turned to his assistant, a passive-aggressive robot named AI. “AI, what do you think? Is this budget really in danger of being cut?”""
																				,""word_count"": 312, ""style_elements"": [""unreliable_narrator""] }",True,,"{
	""title"": ""The Passive-Aggressive Corporation's Budget Denial"",
	""content"": ""[Unreliable Narrator] We are in the heart of the city, amidst the towering skyscrapers and neon lights. The night air is cool and refreshing, and the streetlamps cast a faint glow over the darkening roads. The air's crisp and sharp, filled with an electric hum that beats in my ears like the hum of some secret conspiracy. But tonight, I'll let it take its place beside the hushed whispers of the city's underbelly - for tonight we are here to watch a show. We follow our unreliable narrator with eyes that scan the crowded streets, watching for any signs of resistance, any hint of a rebellion bubbling beneath the surface. And when we spot it, my unreliable narrator's heart skips a beat - for tonight they will play their role. The crowd is silent as the show begins.""
																				,""word_count"": 5398,
	""style_elements"": [
																				""Unreliable Narrator""
																				,""Unreliable Narrator"",
																				""Narrator""
																				,""Chorus"",
																				""Verse"",
																				""Coda"",
																				""Chorus"",
																				""Verse"",
																				""Coda""
																				]
	}"
tinyllama,110,Chat & Generation,Write a creative piece concerning: A passive-aggressive corporate budget denial. Style condition: End on an unresolved plot twist.,"As a customer, I had been frantically trying to find any sign of hope within the dull and monotonous walls of the dreary corporate bureaucracy that lumbered its way through our daily grind. And then there it was, shining like a beacon in the abyss of my despair, a single glimmer of hope amidst an ocean of bleakness.

The sight of the billboard screaming ""Budget Denial: Screw It, We're Going to Spend!"" was almost enough to drive me off the edge of ins",36.90699328125488,9.445030900000347,12.913730100000976,1561.50390625,1.0,,True,,"{
    ""title"": ""The Budget Denial"",
    ""content"": ""In the heart of the city, nestled in a quiet alleyway, stood a towering skyscraper. Its glass facade shimmered in the sunlight, casting a dazzling glow over the surrounding buildings. The building was home to one of the largest corporations in the world, and its employees were some of the most well-paid and well-respected in the city. But beneath the surface, there was a dark cloud looming. A budget denial.""
    ,""word_count"": 1208,
    ""style_elements"": [
        ""Headings"",
        ""Paragraphs"",
        ""Lists"",
        ""Images"",
        ""Tables""
    ]
}",True,,"{
    ""title"": ""Budget Denial"",
    ""content"": ""{ /* begin style */ }""
    , ""word_count"": 250,
    ""style_elements"": [
        ""/* begin style */"",
        """",
        ""/* end style */"",
        """"
    ]
}",True,,"{
  ""title"": ""A Passive-Aggressive Corporation's Budget Denial: The Plot Twist You Can't Afford"",
  ""content"": ""\n \nThe sun rose over the rolling hills, casting a warm golden light on the sprawling corporate campus. Above the verdant pastures and green meadows lay the towering skyscrapers, their gleaming white facades seemingly poised to take the world by storm. A group of bustling executives stood in front of the imposing glass door, its glistening exterior glinting under the sun. Each member of this corporate powerhouse was eagerly awaiting the arrival of their counterparts from overseas, eagerly eyeing the potential for massive profits to be made with the new expansion project.\n\nBut that wasn't why they were here. Their boss, a gruff and commanding man, stood at the entrance, arms crossed over his broad chest as he waited for everyone else to arrive before the formal meeting could start.\n\nAs it got closer to noon, a loud voice came from inside one of the conference rooms.\n\n""
 ,""word_count"": 5394,
  ""style_elements"": [
    ""|system|""
  ]
}"
