model,prompt_id,category,tps,ttft,latency,peak_vram_mb,error,temp_0.0_success,temp_0.0_error,temp_0.1_success,temp_0.1_error,temp_0.2_success,temp_0.2_error,temp_0.3_success,temp_0.3_error,temp_0.4_success,temp_0.4_error,temp_0.5_success,temp_0.5_error,temp_0.6_success,temp_0.6_error,temp_0.7_success,temp_0.7_error
llama3.2:1b,1,Coding Generation,0.0,0.0,0.0,131.0,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,2,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,3,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,4,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,5,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,6,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,7,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,8,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,9,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,10,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,11,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,12,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
llama3.2:1b,13,Coding Generation,0.0,0.0,0.0,131.0,model 'llama3.2:1b' not found (status code: 404),False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)",False,"model ""llama3.2:1b"" not found, try pulling it first (status code: 404)"
