model,prompt_id,category,tps,ttft,latency,peak_vram_mb,error,temp_0.0_success,temp_0.0_error,temp_0.1_success,temp_0.1_error,temp_0.2_success,temp_0.2_error,temp_0.3_success,temp_0.3_error,temp_0.4_success,temp_0.4_error,temp_0.5_success,temp_0.5_error,temp_0.6_success,temp_0.6_error,temp_0.7_success,temp_0.7_error
qwen2.5-coder:1.5b-instruct,1,Coding Generation,0.0,0.0,0.0,2533.50390625,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)"
qwen2.5-coder:1.5b-instruct,2,Coding Generation,0.0,0.0,0.0,131.0,model 'qwen2.5-coder:1.5b-instruct' not found (status code: 404),False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)"
qwen2.5-coder:1.5b-instruct,3,Coding Generation,0.0,0.0,0.0,1827.50390625,model 'qwen2.5-coder:1.5b-instruct' not found (status code: 404),False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)"
qwen2.5-coder:1.5b-instruct,4,Coding Generation,0.0,0.0,0.0,1827.50390625,model 'qwen2.5-coder:1.5b-instruct' not found (status code: 404),False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)"
qwen2.5-coder:1.5b-instruct,5,Coding Generation,0.0,0.0,0.0,1827.50390625,model 'qwen2.5-coder:1.5b-instruct' not found (status code: 404),False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)"
qwen2.5-coder:1.5b-instruct,6,Coding Generation,0.0,0.0,0.0,1827.50390625,model 'qwen2.5-coder:1.5b-instruct' not found (status code: 404),False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)"
qwen2.5-coder:1.5b-instruct,7,Coding Generation,0.0,0.0,0.0,1827.50390625,model 'qwen2.5-coder:1.5b-instruct' not found (status code: 404),False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)"
qwen2.5-coder:1.5b-instruct,8,Coding Generation,0.0,0.0,0.0,2515.50390625,model 'qwen2.5-coder:1.5b-instruct' not found (status code: 404),False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)"
qwen2.5-coder:1.5b-instruct,9,Coding Generation,0.0,0.0,0.0,2529.50390625,model 'qwen2.5-coder:1.5b-instruct' not found (status code: 404),False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)"
qwen2.5-coder:1.5b-instruct,10,Coding Generation,0.0,0.0,0.0,2529.50390625,model 'qwen2.5-coder:1.5b-instruct' not found (status code: 404),False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)",False,"model ""qwen2.5-coder:1.5b-instruct"" not found, try pulling it first (status code: 404)"
